Customer ID,Company Size,Industry,Subscription Tier,Acquisition Channel,MRR,CAC,Tenure Months,Support Tickets,Churned
CUST-00001,Startup,E-commerce,Basic,Paid Ads,48.04,202.67,30,3,1
CUST-00002,Enterprise,E-commerce,Basic,Organic Search,49.88,115.77,16,4,0
CUST-00003,SMB,Technology,Basic,Paid Ads,48.21,159.79,56,7,0
CUST-00004,SMB,Education,Basic,Organic Search,47.45,113.61,48,7,0
CUST-00005,Startup,E-commerce,Pro,Referral,227.18,1127.52,53,2,0
CUST-00006,Startup,Real Estate,Pro,Organic Search,217.2,651.41,1,0,0
CUST-00007,Startup,E-commerce,Basic,Paid Ads,52.41,196.85,48,1,1
CUST-00008,Mid-Market,Real Estate,Pro,Direct Sales,192.59,835.49,6,0,0
CUST-00009,SMB,E-commerce,Pro,Paid Ads,233.91,1113.84,46,2,0
CUST-00010,SMB,Real Estate,Pro,LinkedIn,190.51,812.84,57,4,0
CUST-00011,Startup,E-commerce,Enterprise,Paid Ads,1137.35,4576.14,57,3,0
CUST-00012,Enterprise,E-commerce,Basic,Referral,58.31,198.13,11,1,0
CUST-00013,Mid-Market,Finance,Basic,Referral,54.79,209.09,33,4,0
CUST-00014,Startup,Real Estate,Basic,Referral,58.7,133.98,52,4,0
CUST-00015,Startup,Real Estate,Basic,Organic Search,53.67,249.66,17,3,0
CUST-00016,Startup,Real Estate,Pro,Referral,192.08,697.51,55,11,0
CUST-00017,Startup,Healthcare,Basic,Paid Ads,47.1,99.87,51,3,0
CUST-00018,SMB,E-commerce,Basic,Direct Sales,48.87,232.61,34,5,0
CUST-00019,SMB,Real Estate,Basic,Referral,44.2,153.28,46,2,0
CUST-00020,Startup,Technology,Basic,Paid Ads,54.12,249.26,40,8,1
CUST-00021,SMB,Healthcare,Pro,Organic Search,195.14,891.92,25,4,0
CUST-00022,Startup,Finance,Pro,Organic Search,227.77,1012.95,55,5,1
CUST-00023,Startup,Real Estate,Basic,Direct Sales,49.38,107.86,22,2,0
CUST-00024,Startup,Real Estate,Basic,Direct Sales,51.16,140.24,26,2,1
CUST-00025,SMB,Healthcare,Basic,Paid Ads,58.3,269.73,27,3,1
CUST-00026,Mid-Market,E-commerce,Basic,Direct Sales,47.66,223.86,38,6,0
CUST-00027,Startup,Technology,Enterprise,Direct Sales,1115.26,3763.12,9,3,0
CUST-00028,SMB,Finance,Basic,Organic Search,55.2,183.27,37,3,0
CUST-00029,SMB,Real Estate,Pro,Paid Ads,192.29,485.61,5,1,0
CUST-00030,Startup,E-commerce,Enterprise,Direct Sales,1049.25,5146.82,18,1,0
CUST-00031,SMB,Technology,Basic,Paid Ads,49.25,129.99,22,2,0
